materialId,term,description,termCategories,published
fsn-material,魔術,神秘を再現するための技法。現代に残るのは本来の奇跡を模倣した技術体系。,魔術理論;基礎概念,TRUE
fsn-material,聖杯戦争,願望機・聖杯を巡り、7人のマスターと7騎のサーヴァントが争う儀式。,儀式;戦争システム,TRUE
fsn-material,英霊,人類史に功績を残し、英霊の座に記録された存在。召喚時はサーヴァントとして現界する。,サーヴァント;霊基,TRUE
fsn-material,根源,あらゆる事象の起点とされる究極の到達点。魔術師にとっての最終目標。,世界観;魔術理論,TRUE
fate-zero-dictionary,魔術,家系と刻印により継承される秘儀。戦闘だけでなく諜報・儀式運用も重要視される。,魔術理論;運用,TRUE
fate-zero-dictionary,聖杯戦争,第三次までの経緯を踏まえた上で行われる第四次聖杯戦争。各陣営の思惑が複雑に交錯する。,儀式;戦争システム,TRUE
fate-zero-dictionary,令呪,マスターがサーヴァントへ絶対命令を行使できる三画の契約証。,契約;サーヴァント,TRUE
fgo-material,英霊,英霊の座に登録された霊基情報をもとに、カルデア式召喚でサーヴァントとして呼び出される。,サーヴァント;霊基,TRUE
fgo-material,特異点,人理の流れから逸脱した歴史上の異常点。修復しない限り未来が失われる。,世界観;人理修復,TRUE
fgo-material,魔術,カルデアでは魔術理論と科学技術を複合運用し、観測・修復任務を遂行する。,魔術理論;運用,TRUE
kara-no-kyoukai-pamphlet,根源,渦の中心とも語られる全情報の源。通常の到達手段では接続不可能に近い。,世界観;魔術理論,TRUE
kara-no-kyoukai-pamphlet,直死の魔眼,対象の死を線と点で視認し、そこをなぞることで概念的に死へ至らせる能力。,能力;魔眼,TRUE
kara-no-kyoukai-pamphlet,魔術,隠匿を前提とする技法であり、日常社会との境界維持が重要な倫理として扱われる。,魔術理論;倫理,TRUE
tsukihime-plus-period,直死の魔眼,視界に映る“壊れやすさ”を直接認識する特異能力。精神状態によって見え方が大きく変化する。,能力;魔眼,TRUE
tsukihime-plus-period,真祖,自然現象に近い吸血種。人間社会と異なる原理で活動し、固有の衝動を抱える。,種族;吸血鬼,TRUE
tsukihime-plus-period,根源,魔術的探究の最深部だが、本作では血や衝動といった個の物語と対比される概念として描かれる。,世界観;魔術理論,TRUE
